EmpID,Age,Attrition,BusinessTravel,Department,Education,EducationField,Gender,JobLevel,JobRole,JobSatisfaction,MonthlyIncome,PerformanceRating,YearsAtCompany
RM566,23,No,Travel_Rarely,Research & Development,1,Medical,Male,1,Research Scientist,3,3505,3,2
RM586,23,Yes,Travel_Rarely,Research & Development,3,Life Sciences,Male,1,Laboratory Technician,1,1601,4,0
RM911,23,No,Travel_Rarely,Research & Development,2,Life Sciences,Male,1,Research Scientist,3,1223,4,1
RM1083,23,No,Travel_Rarely,Research & Development,1,Life Sciences,Male,2,Laboratory Technician,3,2272,3,4
RM1128,23,No,Travel_Rarely,Research & Development,3,Technical Degree,Male,1,Research Scientist,3,2073,3,2
RM1202,23,Yes,Travel_Rarely,Research & Development,1,Medical,Male,1,Laboratory Technician,3,3989,3,5
RM1214,23,Yes,Travel_Rarely,Sales,3,Life Sciences,Male,1,Sales Representative,4,2275,4,3
RM1239,23,No,Travel_Rarely,Research & Development,1,Medical,Female,1,Laboratory Technician,2,3295,3,3
RM1409,23,No,Travel_Rarely,Research & Development,2,Other,Male,1,Laboratory Technician,4,2647,3,5
RM1439,23,Yes,Travel_Frequently,Sales,3,Marketing,Male,1,Sales Representative,1,1790,3,1
RM021,24,No,Non-Travel,Research & Development,2,Other,Female,2,Manufacturing Director,3,4011,3,4
RM035,24,Yes,Travel_Rarely,Research & Development,3,Medical,Male,1,Research Scientist,4,2293,3,2
RM097,24,No,Travel_Rarely,Sales,2,Other,Female,2,Sales Executive,3,4999,4,3
RM114,24,No,Travel_Rarely,Research & Development,1,Life Sciences,Male,1,Laboratory Technician,3,2774,3,5
RM381,24,No,Travel_Rarely,Sales,4,Marketing,Female,2,Sales Executive,3,4260,3,5
RM415,24,Yes,Travel_Rarely,Sales,1,Technical Degree,Female,1,Sales Representative,2,3202,3,5
RM471,24,No,Travel_Frequently,Sales,3,Medical,Male,1,Sales Representative,4,2400,3,2
RM475,24,No,Travel_Rarely,Research & Development,3,Medical,Male,1,Research Scientist,4,2725,3,6
RM477,24,No,Travel_Rarely,Research & Development,2,Other,Male,1,Laboratory Technician,2,2127,4,1
RM480,24,Yes,Travel_Frequently,Research & Development,3,Life Sciences,Female,1,Laboratory Technician,3,2886,3,6
RM526,24,Yes,Travel_Rarely,Sales,2,Life Sciences,Female,2,Sales Executive,3,4577,3,2
RM587,24,No,Non-Travel,Research & Development,3,Life Sciences,Male,1,Laboratory Technician,2,2694,3,1
RM641,24,No,Non-Travel,Research & Development,1,Life Sciences,Male,1,Laboratory Technician,4,3162,3,5
RM725,24,No,Travel_Rarely,Research & Development,1,Medical,Female,2,Manufacturing Director,3,4377,3,4
RM842,24,No,Travel_Rarely,Research & Development,3,Medical,Male,1,Laboratory Technician,2,3597,4,4
RM872,24,Yes,Travel_Rarely,Research & Development,2,Life Sciences,Female,1,Laboratory Technician,2,2210,3,1
RM1026,24,No,Travel_Rarely,Sales,1,Medical,Female,2,Sales Executive,3,4162,3,5
RM1061,24,Yes,Travel_Frequently,Research & Development,3,Medical,Male,1,Laboratory Technician,1,3172,3,0
RM1062,24,No,Non-Travel,Sales,2,Life Sciences,Female,1,Sales Representative,2,2033,3,1
RM1098,24,No,Travel_Rarely,Research & Development,2,Technical Degree,Male,1,Laboratory Technician,1,2296,3,1
RM1169,24,No,Travel_Frequently,Research & Development,1,Technical Degree,Female,1,Research Scientist,4,3760,3,6
RM1218,24,No,Travel_Rarely,Research & Development,3,Medical,Male,1,Research Scientist,3,4401,3,5
RM1223,24,Yes,Travel_Rarely,Human Resources,1,Human Resources,Male,1,Human Resources,3,1555,3,1
RM1231,24,No,Travel_Rarely,Research & Development,1,Medical,Male,1,Laboratory Technician,1,3907,3,6
RM1246,24,No,Travel_Frequently,Human Resources,3,Medical,Male,1,Human Resources,4,2145,3,2
RM1408,24,No,Travel_Rarely,Research & Development,2,Life Sciences,Male,2,Healthcare Representative,3,4617,3,4
RM108,25,Yes,Travel_Rarely,Sales,3,Marketing,Male,2,Sales Executive,3,5744,3,6
RM109,25,No,Travel_Rarely,Research & Development,1,Medical,Male,1,Research Scientist,4,2889,3,2
RM139,25,No,Travel_Rarely,Sales,3,Life Sciences,Male,2,Sales Executive,3,8639,3,2
RM256,25,No,Travel_Rarely,Research & Development,3,Life Sciences,Female,2,Manufacturing Director,3,4898,3,4
RM268,25,No,Non-Travel,Research & Development,2,Life Sciences,Male,2,Healthcare Representative,1,4000,3,6
RM398,25,No,Travel_Rarely,Sales,2,Life Sciences,Female,2,Sales Executive,4,4487,3,5
RM406,25,Yes,Travel_Rarely,Research & Development,3,Medical,Male,1,Laboratory Technician,1,4031,3,2
RM479,25,No,Travel_Rarely,Sales,1,Medical,Male,1,Sales Representative,3,2096,3,7
RM518,25,No,Travel_Rarely,Sales,3,Life Sciences,Male,2,Sales Executive,2,4851,4,3
RM564,25,No,Travel_Rarely,Sales,1,Medical,Female,2,Sales Executive,4,6180,4,6
RM619,25,No,Travel_Rarely,Research & Development,1,Medical,Male,1,Research Scientist,1,3424,3,4
RM635,25,No,Travel_Rarely,Sales,1,Other,Male,2,Sales Executive,1,4194,3,5
RM639,25,No,Travel_Rarely,Sales,1,Marketing,Male,2,Sales Executive,1,4256,3,5
RM684,25,Yes,Travel_Rarely,Sales,2,Marketing,Male,1,Sales Representative,2,2413,3,1
RM797,25,Yes,Travel_Rarely,Research & Development,1,Technical Degree,Male,1,Laboratory Technician,4,3691,3,7
RM886,25,No,Travel_Rarely,Sales,4,Life Sciences,Male,2,Sales Executive,4,4950,3,4
RM912,25,Yes,Travel_Frequently,Sales,1,Life Sciences,Male,1,Sales Representative,4,1118,3,1
RM935,25,No,Travel_Rarely,Research & Development,3,Medical,Female,1,Research Scientist,2,2096,3,2
RM966,25,No,Travel_Rarely,Research & Development,1,Medical,Male,1,Laboratory Technician,4,3669,3,3
RM994,25,No,Travel_Rarely,Sales,1,Life Sciences,Male,2,Sales Executive,3,6232,3,3
RM1004,25,No,Travel_Rarely,Research & Development,3,Technical Degree,Male,1,Laboratory Technician,4,3229,3,3
RM1022,25,Yes,Travel_Rarely,Sales,2,Life Sciences,Male,1,Sales Representative,1,4400,3,3
RM1175,25,No,Travel_Frequently,Research & Development,1,Life Sciences,Male,2,Manufacturing Director,3,5206,3,7
RM1412,25,No,Travel_Rarely,Human Resources,3,Human Resources,Female,1,Human Resources,2,2187,3,2
RM1414,25,No,Travel_Rarely,Research & Development,1,Other,Male,1,Laboratory Technician,3,3977,3,2
RM1434,25,No,Travel_Rarely,Sales,2,Other,Female,2,Sales Executive,3,4907,4,5
RM043,26,Yes,Travel_Rarely,Research & Development,3,Life Sciences,Male,1,Laboratory Technician,3,2293,3,1
RM055,26,No,Travel_Rarely,Sales,3,Marketing,Female,2,Sales Executive,4,4157,3,2
RM126,26,No,Travel_Rarely,Research & Development,3,Other,Female,1,Research Scientist,2,2368,3,5
RM135,26,No,Travel_Rarely,Human Resources,1,Life Sciences,Female,1,Human Resources,3,2942,4,8
RM279,26,No,Travel_Frequently,Research & Development,3,Life Sciences,Female,2,Manufacturing Director,2,6397,4,6
RM285,26,No,Travel_Frequently,Research & Development,2,Medical,Male,2,Healthcare Representative,1,4741,3,5
RM289,26,Yes,Travel_Rarely,Research & Development,4,Medical,Male,1,Laboratory Technician,2,2373,3,3
RM294,26,Yes,Travel_Rarely,Sales,4,Marketing,Male,2,Sales Executive,4,5828,3,8
RM356,26,No,Travel_Rarely,Sales,3,Life Sciences,Male,2,Sales Executive,3,5296,3,8
RM383,26,Yes,Travel_Frequently,Research & Development,1,Technical Degree,Male,1,Research Scientist,1,3102,4,6
RM419,26,No,Travel_Rarely,Research & Development,3,Life Sciences,Female,1,Research Scientist,4,2886,4,3
RM454,26,Yes,Travel_Frequently,Human Resources,4,Life Sciences,Female,1,Human Resources,3,2741,3,7
RM461,26,No,Travel_Rarely,Sales,2,Medical,Male,2,Sales Executive,3,4306,3,0
RM464,26,Yes,Travel_Rarely,Research & Development,3,Technical Degree,Male,1,Laboratory Technician,4,2340,3,1
RM476,26,No,Travel_Rarely,Sales,2,Marketing,Male,2,Sales Executive,2,6272,4,5
RM506,26,No,Travel_Rarely,Research & Development,3,Life Sciences,Female,1,Laboratory Technician,4,2659,3,3
RM572,26,No,Travel_Frequently,Research & Development,2,Life Sciences,Female,1,Laboratory Technician,4,4364,3,2
RM574,26,Yes,Travel_Rarely,Sales,3,Technical Degree,Male,2,Sales Executive,1,5326,3,4
RM615,26,Yes,Travel_Frequently,Research & Development,2,Medical,Female,1,Research Scientist,3,2366,3,8
RM686,26,No,Travel_Frequently,Sales,3,Medical,Male,2,Sales Executive,1,4294,3,7
RM734,26,No,Travel_Rarely,Research & Development,2,Medical,Male,2,Manufacturing Director,4,5472,3,8
RM749,26,Yes,Non-Travel,Sales,2,Medical,Male,2,Sales Executive,1,4969,3,2
RM763,26,Yes,Travel_Frequently,Research & Development,3,Life Sciences,Male,1,Research Scientist,1,2042,3,3
RM770,26,No,Travel_Frequently,Research & Development,1,Medical,Female,1,Research Scientist,3,2007,3,5
RM782,26,No,Travel_Rarely,Research & Development,2,Medical,Male,1,Laboratory Technician,1,3955,3,5
RM798,26,Yes,Travel_Rarely,Research & Development,3,Medical,Male,1,Laboratory Technician,3,2377,4,1
RM844,26,No,Travel_Rarely,Research & Development,4,Medical,Male,1,Laboratory Technician,4,4420,4,8
RM913,26,No,Travel_Rarely,Research & Development,2,Life Sciences,Male,1,Research Scientist,4,2875,4,8
RM999,26,No,Travel_Rarely,Research & Development,1,Medical,Male,1,Research Scientist,4,3904,3,4
RM1005,26,No,Travel_Rarely,Research & Development,3,Other,Male,1,Laboratory Technician,1,3578,3,7
RM1119,26,No,Travel_Rarely,Research & Development,3,Life Sciences,Female,1,Research Scientist,4,2061,4,1
RM1207,26,No,Non-Travel,Research & Development,3,Medical,Male,1,Laboratory Technician,4,2570,4,7
RM1225,26,No,Travel_Rarely,Research & Development,4,Medical,Male,1,Laboratory Technician,3,2305,3,3
RM1298,26,Yes,Travel_Rarely,Human Resources,2,Medical,Female,1,Human Resources,2,2148,3,5
RM1310,26,No,Travel_Rarely,Sales,3,Medical,Male,2,Sales Executive,4,4684,3,5
RM1350,26,No,Travel_Rarely,Research & Development,2,Life Sciences,Female,1,Research Scientist,3,2933,3,1
RM1362,26,No,Travel_Frequently,Research & Development,3,Other,Male,1,Laboratory Technician,4,2544,3,7
RM1387,26,No,Travel_Rarely,Research & Development,3,Medical,Male,1,Laboratory Technician,1,2867,3,7
RM1465,26,No,Travel_Rarely,Sales,3,Other,Female,1,Sales Representative,3,2966,3,4
RM1465,26,No,Travel_Rarely,Sales,3,Other,Female,1,Sales Representative,3,2966,3,4
RM005,27,No,Travel_Rarely,Research & Development,1,Medical,Male,1,Laboratory Technician,2,3468,3,2
RM042,27,No,Travel_Rarely,Research & Development,4,Life Sciences,Female,1,Laboratory Technician,1,2341,3,1
RM044,27,No,Travel_Frequently,Sales,3,Life Sciences,Male,3,Sales Executive,3,8726,3,9
RM162,27,No,Non-Travel,Research & Development,3,Medical,Male,1,Research Scientist,2,2024,3,2
RM165,27,No,Non-Travel,Research & Development,3,Medical,Male,1,Research Scientist,3,2566,3,1
RM171,27,No,Travel_Rarely,Research & Development,3,Technical Degree,Male,1,Research Scientist,2,3058,3,5
RM192,27,No,Travel_Rarely,Research & Development,3,Medical,Female,1,Research Scientist,2,2279,3,7
RM201,27,No,Travel_Frequently,Research & Development,1,Technical Degree,Male,2,Manufacturing Director,1,4298,3,2
RM213,27,No,Travel_Frequently,Sales,3,Life Sciences,Female,2,Sales Executive,3,9981,3,7
RM319,27,No,Travel_Rarely,Research & Development,3,Life Sciences,Female,1,Research Scientist,2,2478,3,4
RM321,27,No,Travel_Rarely,Sales,3,Life Sciences,Male,2,Sales Executive,3,4478,3,5
RM332,27,No,Non-Travel,Sales,1,Marketing,Male,2,Sales Executive,2,6349,3,5
RM340,27,No,Travel_Rarely,Sales,4,Marketing,Female,2,Sales Executive,2,6214,3,8
RM374,27,No,Travel_Rarely,Research & Development,2,Medical,Male,1,Laboratory Technician,2,3816,3,5
RM486,27,No,Travel_Rarely,Research & Development,4,Medical,Female,1,Research Scientist,3,2187,3,5
RM496,27,Yes,Travel_Rarely,Sales,1,Marketing,Male,1,Sales Representative,1,3041,3,4
RM513,27,No,Travel_Rarely,Research & Development,4,Medical,Male,1,Research Scientist,4,2045,3,4
RM522,27,No,Travel_Frequently,Sales,1,Medical,Female,2,Sales Executive,4,4647,4,6
RM531,27,No,Travel_Rarely,Research & Development,2,Life Sciences,Female,3,Manufacturing Director,1,7412,3,9
RM538,27,No,Travel_Frequently,Research & Development,2,Life Sciences,Male,3,Manufacturing Director,1,8793,4,9
RM555,27,No,Travel_Rarely,Research & Development,3,Medical,Female,2,Healthcare Representative,1,6811,3,7
RM577,27,No,Travel_Frequently,Sales,1,Marketing,Male,2,Sales Executive,4,4342,3,4
RM611,27,No,Travel_Rarely,Research & Development,1,Technical Degree,Male,3,Research Director,4,12808,3,9
RM616,27,No,Non-Travel,Research & Development,3,Medical,Male,1,Research Scientist,4,1706,3,0
RM671,27,No,Travel_Rarely,Research & Development,3,Life Sciences,Female,1,Research Scientist,3,2318,3,1
RM718,27,No,Travel_Rarely,Research & Development,4,Technical Degree,Female,1,Laboratory Technician,2,2811,3,2
RM740,27,No,Travel_Rarely,Research & Development,4,Life Sciences,Female,2,Manufacturing Director,4,4227,3,3
RM787,27,No,Non-Travel,Research & Development,5,Life Sciences,Male,1,Laboratory Technician,3,4621,3,3
RM834,27,No,Travel_Rarely,Research & Development,3,Life Sciences,Male,1,Research Scientist,3,2539,3,4
RM890,27,No,Travel_Rarely,Research & Development,3,Life Sciences,Male,1,Research Scientist,1,2235,3,9
RM903,27,No,Travel_Rarely,Research & Development,2,Life Sciences,Male,1,Research Scientist,3,2517,3,5
RM971,27,No,Travel_Rarely,Sales,3,Medical,Female,1,Sales Representative,4,2534,3,1
RM975,27,No,Travel_Frequently,Sales,1,Life Sciences,Male,2,Sales Executive,4,5071,4,6
RM997,27,No,Travel_Rarely,Sales,3,Marketing,Female,2,Sales Executive,4,5769,3,6
RM998,27,Yes,Travel_Rarely,Research & Development,4,Life Sciences,Female,1,Research Scientist,3,2394,3,8
RM1018,27,No,Travel_Rarely,Research & Development,1,Life Sciences,Male,1,Laboratory Technician,1,2099,3,5
RM1150,27,No,Travel_Rarely,Research & Development,3,Other,Male,1,Laboratory Technician,1,4066,3,7
RM1170,27,No,Travel_Rarely,Research & Development,3,Medical,Female,1,Research Scientist,3,3517,3,3
RM1171,27,No,Travel_Frequently,Research & Development,3,Medical,Male,1,Research Scientist,4,2580,3,4
RM1249,27,No,Travel_Rarely,Research & Development,3,Medical,Female,1,Research Scientist,4,3445,3,6
RM1318,27,No,Travel_Frequently,Research & Development,2,Life Sciences,Female,1,Laboratory Technician,4,2379,3,5
RM1329,27,No,Travel_Rarely,Sales,1,Medical,Female,2,Sales Representative,3,3540,4,9
RM1335,27,No,Travel_Frequently,Research & Development,3,Life Sciences,Female,1,Research Scientist,1,4774,3,7
RM1351,27,No,Travel_Rarely,Sales,2,Medical,Female,2,Sales Executive,3,6500,3,8
RM1368,27,No,TravelRarely,Research & Development,4,Technical Degree,Male,1,Research Scientist,2,2226,3,5
RM1380,27,Yes,Travel_Frequently,Human Resources,3,Human Resources,Female,1,Human Resources,2,2863,3,1
RM1394,27,No,Travel_Rarely,Sales,3,Marketing,Male,2,Sales Executive,4,4105,3,7
RM1468,27,No,Travel_Rarely,Research & Development,3,Life Sciences,Male,2,Manufacturing Director,2,6142,4,6
RM1468,27,No,Travel_Rarely,Research & Development,3,Life Sciences,Male,2,Manufacturing Director,2,6142,4,6
RM015,28,Yes,Travel_Rarely,Research & Development,3,Life Sciences,Male,1,Laboratory Technician,3,2028,3,4
RM052,28,Yes,Travel_Rarely,Research & Development,4,Technical Degree,Male,1,Laboratory Technician,3,3441,3,2
RM098,28,No,Non-Travel,Sales,3,Medical,Male,2,Sales Executive,3,4221,3,5
RM163,28,No,Travel_Rarely,Research & Development,3,Medical,Male,1,Research Scientist,4,2713,3,5
RM265,28,Yes,Travel_Rarely,Research & Development,4,Life Sciences,Male,1,Laboratory Technician,3,3485,3,0
RM273,28,No,Travel_Rarely,Research & Development,3,Medical,Male,1,Research Scientist,4,2070,4,5
RM290,28,No,Travel_Rarely,Research & Development,2,Life Sciences,Female,1,Research Scientist,4,3310,4,5
RM303,28,No,Travel_Rarely,Research & Development,2,Medical,Male,2,Healthcare Representative,1,5661,3,8
RM324,28,Yes,Travel_Rarely,Research & Development,4,Medical,Male,1,Research Scientist,4,3464,3,3
RM375,28,No,Travel_Rarely,Sales,4,Life Sciences,Male,2,Sales Executive,4,5253,3,7
RM405,28,No,Travel_Rarely,Research & Development,2,Medical,Male,2,Laboratory Technician,1,4558,3,10
RM541,28,Yes,Travel_Rarely,Research & Development,2,Life Sciences,Female,1,Research Scientist,2,2216,3,7
RM599,28,Yes,Travel_Rarely,Research & Development,4,Medical,Male,1,Research Scientist,3,4382,3,2
RM613,28,No,Travel_Rarely,Sales,4,Marketing,Female,2,Sales Executive,2,4779,4,8
RM630,28,No,Travel_Rarely,Human Resources,2,Medical,Male,1,Human Resources,4,4936,3,5
RM660,28,No,Travel_Rarely,Sales,4,Medical,Male,2,Sales Executive,4,4908,3,4
RM669,28,No,Travel_Rarely,Research & Development,3,Medical,Female,1,Research Scientist,3,2377,3,2
RM765,28,No,Travel_Rarely,Sales,1,Medical,Male,1,Sales Representative,2,1052,4,1
RM781,28,Yes,Non-Travel,Research & Development,2,Technical Degree,Male,3,Healthcare Representative,1,8722,3,10
RM789,28,No,Travel_Rarely,Research & Development,3,Other,Female,2,Research Scientist,3,3660,3,8
RM794,28,No,Travel_Rarely,Research & Development,2,Life Sciences,Male,1,Laboratory Technician,3,2207,3,4
RM801,28,Yes,Travel_Frequently,Research & Development,3,Medical,Male,1,Laboratory Technician,2,2596,3,1
RM810,28,No,Travel_Rarely,Research & Development,3,Medical,Female,3,Manufacturing Director,2,7655,3,9
RM820,28,No,Travel_Rarely,Research & Development,1,Life Sciences,Male,1,Research Scientist,2,3201,3,5
RM828,28,No,Travel_Frequently,Research & Development,3,Life Sciences,Male,1,Research Scientist,3,2703,3,3
RM843,28,Yes,Travel_Rarely,Research & Development,1,Life Sciences,Female,1,Laboratory Technician,4,2515,3,1
RM869,28,No,Travel_Rarely,Research & Development,4,Medical,Male,1,Laboratory Technician,1,3196,3,6
RM922,28,No,Travel_Frequently,Research & Development,4,Medical,Male,1,Laboratory Technician,3,2154,3,4
RM930,28,No,Travel_Frequently,Research & Development,3,Life Sciences,Male,1,Laboratory Technician,4,3867,3,2
RM934,28,No,Travel_Rarely,Research & Development,3,Technical Degree,Male,1,Research Scientist,1,2080,3,3
RM945,28,No,Non-Travel,Research & Development,3,Life Sciences,Female,2,Laboratory Technician,4,6674,3,9
RM985,28,No,Travel_Rarely,Sales,3,Life Sciences,Male,2,Sales Executive,1,4724,3,5
RM1042,28,No,Travel_Rarely,Sales,3,Medical,Male,2,Sales Executive,1,8463,3,5
RM1057,28,Yes,Travel_Frequently,Sales,3,Technical Degree,Male,1,Sales Representative,3,2909,3,3
RM1069,28,Yes,Travel_Frequently,Research & Development,2,Medical,Male,1,Laboratory Technician,1,2561,3,0
RM1070,28,No,Travel_Rarely,Research & Development,3,Life Sciences,Male,1,Research Scientist,3,1563,3,1
RM1071,28,No,Travel_Frequently,Sales,3,Life Sciences,Male,2,Sales Executive,1,4898,3,4
RM1074,28,No,Travel_Rarely,Research & Development,1,Life Sciences,Male,2,Manufacturing Director,2,6549,3,8
RM1137,28,Yes,Travel_Rarely,Research & Development,3,Medical,Male,1,Laboratory Technician,2,2408,3,1
RM1152,28,No,Travel_Rarely,Research & Development,3,Medical,Female,2,Manufacturing Director,1,4877,4,5
RM1284,28,No,Travel_Rarely,Research & Development,3,Life Sciences,Male,1,Research Scientist,4,2044,3,5
RM1308,28,No,Travel_Rarely,Research & Development,3,Medical,Female,1,Research Scientist,1,3591,4,3
RM1324,28,No,Non-Travel,Human Resources,2,Life Sciences,Male,1,Human Resources,4,2706,3,3
RM1338,28,No,Travel_Rarely,Sales,3,Medical,Female,1,Sales Representative,2,2856,3,1
RM1365,28,No,Travel_Frequently,Sales,2,Life Sciences,Male,2,Sales Executive,4,6834,3,7
RM1370,28,Yes,Travel_Rarely,Sales,2,Marketing,Female,2,Sales Executive,3,9854,3,2
RM1382,28,No,Non-Travel,Research & Development,3,Medical,Male,1,Research Scientist,3,2144,3,5
RM1391,28,Yes,Travel_Rarely,Research & Development,3,Technical Degree,Male,1,Laboratory Technician,4,2367,3,4
RM012,29,No,Travel_Rarely,Research & Development,2,Life Sciences,Female,2,Laboratory Technician,3,4193,3,9
RM016,29,No,Travel_Rarely,Research & Development,4,Life Sciences,Female,3,Manufacturing Director,1,9980,3,10
RM072,29,No,Travel_Rarely,Research & Development,3,Life Sciences,Male,1,Research Scientist,2,2703,4,5
RM156,29,No,Non-Travel,Research & Development,1,Technical Degree,Male,2,Manufacturing Director,3,4319,3,10
RM206,29,Yes,Travel_Rarely,Sales,3,Marketing,Female,3,Sales Executive,4,7639,4,10
